"1","Mark the letter A, B, C, or D on your answer sheet to indicate the word whose underlined part differs from the other three in pronunciation in each of the following questions.","remedy","expectancy","sensor","renewable","4","explain","1","1","1"
"2","Mark the letter A, B, C, or D on your answer sheet to indicate the word whose underlined part differs from the other three in pronunciation in each of the following questions.","process","discussion","stress","assistance","2","explain","1","1","1"
"3","Mark the letter A, B, C, or D on your answer sheet to indicate the word that differs from the other three in the position of primary stress in each of the following questions","purchase","contain","suggest","reflect","1","explain","2","1","1"
"4","Mark the letter A, B, C, or D on your answer sheet to indicate the word that differs from the other three in the position of primary stress in each of the following questions","police","attract","signal","discuss","3","explain","2","1","1"
"5","A new school________. They hope to finish building it next month.","is being built","has been built","is built","was built","1","explain","3","1","1"
"6","We object ________ your leaving dinner to take phone calls.","for","on","to","with","3","explain","3","1","1"
"7","This shirt is ________ that one.","a bit less expensive","as much expensive as","not nearly as expensive as","much far expensive than","3","explain","3","1","1"
"8","Please take all personal belongings with you ________ leaving the train","when","what","whom","which","1","explain","3","1","1"
"9","It is still unclear ________ the Mayor will accept the recommendations of the City Council.","yet","about","before","whether","4","explain","3","1","1"
"10","“Can I carry these suitcases into the room for you?” - “________”","You can't, I think!","No, you can’t","Yes, you can.","Can you? That’s very kind","4","explain","4","1","1"
"11","A: “I think it is a good idea to have three or four generations living under one roof. B: “________. Family members can help each other a lot.”","It’s not true","That’s wrong","I couldn't agree more","I don’t agree","3","explain","4","1","1"
"12","After the flash flood, all the drains were overflowing _____ storm water","from","with","for","by","2","explain","3","1","1"
"13","The ideas ______ in this essay are not particularly original.","are discussed","discussing","discussed","which are discussing","3","explain","3","1","1"
